LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
10180Z,KEAN'S THE CLEANERS,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9749Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9750Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9751Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9752Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9753Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",10,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9754Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9843Z,7-ELEVEN,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9844Z,7-ELEVEN,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9845Z,7-ELEVEN,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8808Z,SPEEDWAY SUPER,1.45,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
864,COCA-COLA,46.95,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
9767Z,HELIS,16,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9768Z,HELIS,16,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9771Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9772Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9773Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9774Z,HELIS,6,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
5941Z,STAR ENTERPRISE,5.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5010Z,GOLDKING PROD,0,600-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
7328Z,STAR ENTERPRISE,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9758Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
9759Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
9760Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9761Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9762Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9763Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9764Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9765Z,HELIS,16,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9766Z,HELIS,16,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9770Z,CINTAS,,SHALLOW SANDS OF BATON ROUGE AREA,Active
7695Z,CHEVRON,14.2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9276Z,WAMPOLD,21,[TO BE DETERMINED],Active
9485Z,SHELL OIL,6.1,[TO BE DETERMINED],Plugged and Abandonded
760B,BRIARWOOD CLUB,19.74,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
151,BATON ROUGE WW,5.6,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE",Plugged and Abandonded
760A,BRIARWOOD CLUB,17.71,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
894,BRIARWOOD CLUB,21.47,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
9477Z,EXXON MOBIL,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7582Z,LENNAR CENTRAL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7583Z,LENNAR CENTRAL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7751Z,LENNAR CENTRAL,14,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9893Z,"BEAU BOX PROPERTY MANAGEMENT, LLC",11.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
10004Z,"BEAU BOX PROPERTY MANAGEMENT, LLC",10.43,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7754Z,LENNAR CENTRAL,14.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9478Z,EXXON MOBIL,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9480Z,EXXON MOBIL,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7581Z,LENNAR CENTRAL,11,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
1447,BATON ROUGE WATER COMPANY,140,2000-FOOT SAND OF BATON ROUGE AREA,Active
9786Z,CIRCLE K STORES,2.93,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9788Z,CIRCLE K STORES,3.15,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
