LOCAL_WELL,OWNERS_NAM,DATE_COMPL,GEOLOGIC_U,WATER_LEVE,DATE_MEASU,PUMP_SETTI,PUMP_RATE,YIELD_MEAS,PUMP_HOURS,PUMP_DOWN_,AQUIFER_NA,X,Y
10180Z,KEAN'S THE CLEANERS,10/16/2020,112SESC,,,,,,,G,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"680528","3361312"
9749Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",5/7/12,112SESC,"13",5-7-12,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686884","3364377"
9750Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",5/7/12,112SESC,"8",5-7-12,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686883","3364408"
9751Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",5/7/12,112SESC,"6",5-7-12,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686830","3364407"
9752Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",5/7/12,112SESC,"6",5-7-12,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686857","3364407"
9753Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",5/7/12,112SESC,"10",5-7-12,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686883","3364408"
9754Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",5/7/12,112SESC,"12",5-7-12,,,,,P,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"686912","3364285"
9843Z,7-ELEVEN,,112SESC,,,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678623","3371537"
9844Z,7-ELEVEN,,112SESC,,,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678623","3371537"
9845Z,7-ELEVEN,,112SESC,,,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678623","3371537"
8808Z,SPEEDWAY SUPER,02/04,112SESC,"1.45",02/04/04,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"685162","3366719"
"864",COCA-COLA,08/70,11204BR,"46.95",09/29/70,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"685079","3366902"
9767Z,HELIS,5/8/12,112MRVA,"16",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER,"675787","3363822"
9768Z,HELIS,5/8/12,112MRVA,"16",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER,"675865","3363947"
9771Z,HELIS,5/8/12,112MRVAC,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675469","3363663"
9772Z,HELIS,5/8/12,112MRVAC,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675388","3363693"
9773Z,HELIS,5/8/12,112MRVAC,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675521","3363756"
9774Z,HELIS,5/8/12,112SLBR,"6",5-8-12,,,,,P,SHALLOW SANDS OF BATON ROUGE AREA,"675469","3363663"
5941Z,STAR ENTERPRISE,10/88,112SESC,"5.40",10/28/88,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"678188","3372054"
5010Z,GOLDKING PROD,02/82,11206BR,"0.00",,,,,,,600-FOOT SAND OF BATON ROUGE AREA,"686112","3362701"
7328Z,STAR ENTERPRISE,05/94,112SESC,"4.00",05/05/94,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"684444","3368154"
9758Z,HELIS,5/8/12,112MRVAC,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675470","3363602"
9759Z,HELIS,5/8/12,112MRVAC,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675496","3363602"
9760Z,HELIS,5/8/12,112MRVA,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER,"675780","3364253"
9761Z,HELIS,5/8/12,112MRVA,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER,"675780","3364253"
9762Z,HELIS,5/8/12,112MRVAC,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675699","3364314"
9763Z,HELIS,5/8/12,112MRVA,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER,"675674","3364190"
9764Z,HELIS,5/8/12,112MRVAC,"6",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675833","3364223"
9765Z,HELIS,5/8/12,112MRVA,"16",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER,"675786","3363884"
9766Z,HELIS,5/8/12,112MRVAC,"16",5-8-12,,,,,P,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,"675704","3363975"
9770Z,CINTAS,5/15/12,112SLBR,,5-15-12,,,,,P,SHALLOW SANDS OF BATON ROUGE AREA,"675660","3369980"
7695Z,CHEVRON,01/96,112SESC,"14.20",01/19/96,,,,,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,"681811","3367586"
9276Z,WAMPOLD,07/07,"00000000","21.00",06/21/07,,,,,,[TO BE DETERMINED],"676643","3365315"
9485Z,SHELL OIL,11/09,"00000000","6.10",11/11/09,,,,,,[TO BE DETERMINED],"677569","3367455"
760B,BRIARWOOD CLUB,,11204BR,"19.74",10/05/70,,,,,,400-FOOT SAND OF BATON ROUGE AREA,"688651","3362590"
"151",BATON ROUGE WW,"1944",12223BR,"5.60",08/29/44,,,,,,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE","678497","3369533"
