fid,VarZ,X,Y
"1",0,"675085","3376455"
"2",0,"675185","3376455"
"3",0,"675285","3376455"
"4",0,"675385","3376455"
"5",0,"675485","3376455"
"6",0,"675585","3376455"
"7",0,"675685","3376455"
"8",0,"675785","3376455"
"9",0,"675885","3376455"
"10",0,"675985","3376455"
"11",0,"676085","3376455"
"12",0,"676185","3376455"
"13",0,"676285","3376455"
"14",0,"676385","3376455"
"15",0,"676485","3376455"
"16",0,"676585","3376455"
"17",0,"676685","3376455"
"18",0,"676785","3376455"
"19",0,"676885","3376455"
"20",0,"676985","3376455"
"21",0,"677085","3376455"
"22",0,"677185","3376455"
"23",0,"677285","3376455"
"24",0,"677385","3376455"
"25",0,"677485","3376455"
"26",0,"677585","3376455"
"27",0,"677685","3376455"
"28",0,"677785","3376455"
"29",0,"677885","3376455"
"30",0,"677985","3376455"
"31",0,"678085","3376455"
"32",0,"678185","3376455"
"33",0,"678285","3376455"
"34",0,"678385","3376455"
"35",0,"678485","3376455"
"36",0,"678585","3376455"
"37",0,"678685","3376455"
"38",0,"678785","3376455"
"39",0,"678885","3376455"
"40",0,"678985","3376455"
"41",0,"679085","3376455"
"42",0,"679185","3376455"
"43",0,"679285","3376455"
"44",0,"679385","3376455"
"45",0,"679485","3376455"
"46",0,"679585","3376455"
"47",0,"679685","3376455"
"48",0,"679785","3376455"
"49",0,"679885","3376455"
"50",0,"679985","3376455"
"51",0,"680085","3376455"
"52",0,"680185","3376455"
"53",0,"680285","3376455"
"54",0,"680385","3376455"
"55",0,"680485","3376455"
"56",0,"680585","3376455"
"57",0,"680685","3376455"
"58",0,"680785","3376455"
"59",0,"680885","3376455"
"60",0,"680985","3376455"
"61",0,"681085","3376455"
"62",0,"681185","3376455"
"63",0,"681285","3376455"
"64",0,"681385","3376455"
"65",0,"681485","3376455"
"66",0,"681585","3376455"
"67",0,"681685","3376455"
"68",0,"681785","3376455"
"69",0,"681885","3376455"
"70",0,"681985","3376455"
"71",0,"682085","3376455"
"72",0,"682185","3376455"
"73",0,"682285","3376455"
"74",0,"682385","3376455"
"75",0,"682485","3376455"
"76",0,"682585","3376455"
"77",0,"682685","3376455"
"78",0,"682785","3376455"
"79",0,"682885","3376455"
"80",0,"682985","3376455"
"81",0,"683085","3376455"
"82",0,"683185","3376455"
"83",0,"683285","3376455"
"84",0,"683385","3376455"
"85",0,"683485","3376455"
"86",0,"683585","3376455"
"87",0,"683685","3376455"
"88",0,"683785","3376455"
"89",0,"683885","3376455"
"90",0,"683985","3376455"
"91",0,"684085","3376455"
"92",0,"684185","3376455"
"93",0,"684285","3376455"
"94",0,"684385","3376455"
"95",0,"684485","3376455"
"96",0,"684585","3376455"
"97",0,"684685","3376455"
"98",0,"684785","3376455"
"99",0,"684885","3376455"
"100",0,"684985","3376455"
"101",0,"685085","3376455"
"102",0,"685185","3376455"
"103",0,"685285","3376455"
"104",0,"685385","3376455"
"105",0,"685485","3376455"
"106",0,"685585","3376455"
"107",0,"685685","3376455"
"108",0,"685785","3376455"
"109",0,"685885","3376455"
"110",0,"685985","3376455"
"111",0,"686085","3376455"
"112",0,"686185","3376455"
"113",0,"686285","3376455"
"114",0,"686385","3376455"
"115",0,"686485","3376455"
"116",0,"686585","3376455"
"117",0,"686685","3376455"
"118",0,"686785","3376455"
"119",0,"686885","3376455"
"120",0,"686985","3376455"
"121",0,"687085","3376455"
"122",0,"687185","3376455"
"123",0,"687285","3376455"
"124",0,"687385","3376455"
"125",0,"687485","3376455"
"126",0,"687585","3376455"
"127",0,"687685","3376455"
"128",0,"687785","3376455"
"129",0,"687885","3376455"
"130",0,"687985","3376455"
"131",0,"688085","3376455"
"132",0,"688185","3376455"
"133",0,"688285","3376455"
"134",0,"688385","3376455"
"135",0,"688485","3376455"
"136",0,"688585","3376455"
"137",0,"688685","3376455"
"138",0,"688785","3376455"
"139",0,"688885","3376455"
"140",0,"688985","3376455"
"141",0,"689085","3376455"
"142",0,"689185","3376455"
"143",0,"689285","3376455"
"144",0,"689385","3376455"
"145",0,"689485","3376455"
"146",0,"689585","3376455"
"147",0,"689685","3376455"
"148",0,"689785","3376455"
"149",0,"689885","3376455"
"150",0,"689985","3376455"
"151",0,"690085","3376455"
"152",0,"690185","3376455"
"153",0,"690285","3376455"
"154",0,"690385","3376455"
"155",0,"690485","3376455"
"156",0,"690585","3376455"
"157",0,"690685","3376455"
"158",0,"690785","3376455"
"159",0,"690885","3376455"
"160",0,"690985","3376455"
"161",0,"691085","3376455"
"162",0,"691185","3376455"
"163",0,"691285","3376455"
"164",0,"691385","3376455"
"165",0,"691485","3376455"
"166",0,"691585","3376455"
"167",0,"691685","3376455"
"168",0,"691785","3376455"
"169",0,"691885","3376455"
"170",0,"691985","3376455"
"171",0,"692085","3376455"
"172",0,"692185","3376455"
"173",0,"692285","3376455"
"174",0,"692385","3376455"
"175",0,"692485","3376455"
"176",0,"692585","3376455"
"177",0,"692685","3376455"
"178",0,"692785","3376455"
"179",0,"692885","3376455"
"180",0,"692985","3376455"
"181",0,"693085","3376455"
"182",0,"693185","3376455"
"183",0,"693285","3376455"
"184",0,"693385","3376455"
"185",0,"693485","3376455"
"186",0,"693585","3376455"
"187",0,"693685","3376455"
"188",0,"693785","3376455"
"189",0,"693885","3376455"
"190",0,"693985","3376455"
"191",0,"694085","3376455"
"192",0,"694185","3376455"
"193",0,"694285","3376455"
"194",0,"694385","3376455"
"195",0,"694485","3376455"
"196",0,"675085","3376355"
"197",0,"675185","3376355"
"198",0,"675285","3376355"
"199",0,"675385","3376355"
"200",0,"675485","3376355"
"201",0,"675585","3376355"
"202",0,"675685","3376355"
"203",0,"675785","3376355"
"204",0,"675885","3376355"
"205",0,"675985","3376355"
"206",0,"676085","3376355"
"207",0,"676185","3376355"
"208",0,"676285","3376355"
"209",0,"676385","3376355"
"210",0,"676485","3376355"
"211",0,"676585","3376355"
"212",0,"676685","3376355"
"213",0,"676785","3376355"
"214",0,"676885","3376355"
"215",0,"676985","3376355"
"216",0,"677085","3376355"
"217",0,"677185","3376355"
"218",0,"677285","3376355"
"219",0,"677385","3376355"
"220",0,"677485","3376355"
"221",0,"677585","3376355"
"222",0,"677685","3376355"
"223",0,"677785","3376355"
"224",0,"677885","3376355"
"225",0,"677985","3376355"
"226",0,"678085","3376355"
"227",0,"678185","3376355"
"228",0,"678285","3376355"
"229",0,"678385","3376355"
"230",0,"678485","3376355"
"231",0,"678585","3376355"
"232",0,"678685","3376355"
"233",0,"678785","3376355"
"234",0,"678885","3376355"
"235",0,"678985","3376355"
"236",0,"679085","3376355"
"237",0,"679185","3376355"
"238",0,"679285","3376355"
"239",0,"679385","3376355"
"240",0,"679485","3376355"
"241",0,"679585","3376355"
"242",0,"679685","3376355"
"243",0,"679785","3376355"
"244",0,"679885","3376355"
"245",0,"679985","3376355"
"246",0,"680085","3376355"
"247",0,"680185","3376355"
"248",0,"680285","3376355"
"249",0,"680385","3376355"
"250",0,"680485","3376355"
"251",0,"680585","3376355"
"252",0,"680685","3376355"
"253",0,"680785","3376355"
"254",0,"680885","3376355"
"255",0,"680985","3376355"
"256",0,"681085","3376355"
"257",0,"681185","3376355"
"258",0,"681285","3376355"
"259",0,"681385","3376355"
"260",0,"681485","3376355"
"261",0,"681585","3376355"
"262",0,"681685","3376355"
"263",0,"681785","3376355"
"264",0,"681885","3376355"
"265",0,"681985","3376355"
"266",0,"682085","3376355"
"267",0,"682185","3376355"
"268",0,"682285","3376355"
"269",0,"682385","3376355"
"270",0,"682485","3376355"
"271",0,"682585","3376355"
"272",0,"682685","3376355"
"273",0,"682785","3376355"
"274",0,"682885","3376355"
"275",0,"682985","3376355"
"276",0,"683085","3376355"
"277",0,"683185","3376355"
"278",0,"683285","3376355"
"279",0,"683385","3376355"
"280",0,"683485","3376355"
"281",0,"683585","3376355"
"282",0,"683685","3376355"
"283",0,"683785","3376355"
"284",0,"683885","3376355"
"285",0,"683985","3376355"
"286",0,"684085","3376355"
"287",0,"684185","3376355"
"288",0,"684285","3376355"
"289",0,"684385","3376355"
"290",0,"684485","3376355"
"291",0,"684585","3376355"
"292",0,"684685","3376355"
"293",0,"684785","3376355"
"294",0,"684885","3376355"
"295",0,"684985","3376355"
"296",0,"685085","3376355"
"297",0,"685185","3376355"
"298",0,"685285","3376355"
"299",0,"685385","3376355"
"300",0,"685485","3376355"
"301",0,"685585","3376355"
"302",0,"685685","3376355"
"303",0,"685785","3376355"
"304",0,"685885","3376355"
"305",0,"685985","3376355"
"306",0,"686085","3376355"
"307",0,"686185","3376355"
"308",0,"686285","3376355"
"309",0,"686385","3376355"
"310",0,"686485","3376355"
"311",0,"686585","3376355"
"312",0,"686685","3376355"
"313",0,"686785","3376355"
"314",0,"686885","3376355"
"315",0,"686985","3376355"
"316",0,"687085","3376355"
"317",0,"687185","3376355"
"318",0,"687285","3376355"
"319",0,"687385","3376355"
"320",0,"687485","3376355"
"321",0,"687585","3376355"
"322",0,"687685","3376355"
"323",0,"687785","3376355"
"324",0,"687885","3376355"
"325",0,"687985","3376355"
"326",0,"688085","3376355"
"327",0,"688185","3376355"
"328",0,"688285","3376355"
"329",0,"688385","3376355"
"330",0,"688485","3376355"
"331",0,"688585","3376355"
"332",0,"688685","3376355"
"333",0,"688785","3376355"
"334",0,"688885","3376355"
"335",0,"688985","3376355"
"336",0,"689085","3376355"
"337",0,"689185","3376355"
"338",0,"689285","3376355"
"339",0,"689385","3376355"
"340",0,"689485","3376355"
"341",0,"689585","3376355"
"342",0,"689685","3376355"
"343",0,"689785","3376355"
"344",0,"689885","3376355"
"345",0,"689985","3376355"
"346",0,"690085","3376355"
"347",0,"690185","3376355"
"348",0,"690285","3376355"
"349",0,"690385","3376355"
"350",0,"690485","3376355"
"351",0,"690585","3376355"
"352",0,"690685","3376355"
"353",0,"690785","3376355"
"354",0,"690885","3376355"
"355",0,"690985","3376355"
"356",0,"691085","3376355"
"357",0,"691185","3376355"
"358",0,"691285","3376355"
"359",0,"691385","3376355"
"360",0,"691485","3376355"
"361",0,"691585","3376355"
"362",0,"691685","3376355"
"363",0,"691785","3376355"
"364",0,"691885","3376355"
"365",0,"691985","3376355"
"366",0,"692085","3376355"
"367",0,"692185","3376355"
"368",0,"692285","3376355"
"369",0,"692385","3376355"
"370",0,"692485","3376355"
"371",0,"692585","3376355"
"372",0,"692685","3376355"
"373",0,"692785","3376355"
"374",0,"692885","3376355"
"375",0,"692985","3376355"
"376",0,"693085","3376355"
"377",0,"693185","3376355"
"378",0,"693285","3376355"
"379",0,"693385","3376355"
"380",0,"693485","3376355"
"381",0,"693585","3376355"
"382",0,"693685","3376355"
"383",0,"693785","3376355"
"384",0,"693885","3376355"
"385",0,"693985","3376355"
