LocalWellNumber,WellDepth,Well_Depth_Meters,WellUse,Active,LastActive_Plugged,LastActive_Plugged_date,DateConstructed,Yield,SerialNumber
271,650,198.12,Domestic,Y,Current,08/02/21,1/1/1919,NN,NN
368,450,137.16,Irrigation,Y,Current,08/02/21,10/1/1992,30,NN
621,1487,453.2376,Public Supply,Y,Current,08/02/21,12/1/1956,295,1033005
804A,1950,594.36,Observation,Y,Current,08/02/21,2/1/1966,30,NN
804B,2762,841.8576,Observation,Y,Current,08/02/21,2/1/1966,25,NN
805,1072,326.7456,Observation,Y,Current,08/02/21,2/1/1966,20,NN
990,1465,446.532,Public Supply,Y,Current,08/02/21,1/1/1977,NN,1033005
991B,565,172.212,Public Supply,Y,Current,08/02/21,5/1/1977,NN,1033005
1039,2697,822.0456,Public Supply,Y,Current,08/02/21,3/1/1984,NN,1033005
1237,600,182.88,Irrigation,Y,Current,08/02/21,5/1/1990,550,NN
1278,550,167.64,Observation,Y,Current,08/02/21,6/1/1997,18,NN
1282,496,151.1808,Irrigation,Y,Current,08/02/21,3/1/1998,NN,NN
1287,1510,460.248,Public Supply,Y,Current,08/02/21,8/1/1998,1999,NN
1297,1635,498.348,Public Supply,Y,Current,08/02/21,8/1/1999,2641,NN
5313Z,13,3.9624,Monitor,Y,Current,08/02/21,4/1/1986,NN,60109027
5314Z,12,3.6576,Monitor,Y,Current,08/02/21,4/1/1986,NN,60109027
5349Z,300,91.44,Heat Pump,Y,Current,08/02/21,11/1/1985,NN,NN
5353Z,300,91.44,Heat Pump,Y,Current,08/02/21,11/1/1985,NN,NN
5379Z,150,45.72,Heat Pump,Y,Current,08/02/21,6/1/1986,NN,NN
5946Z,20,6.096,Monitor,Y,Current,08/02/21,12/1/1988,NN,NN
5947Z,20,6.096,Monitor,Y,Current,08/02/21,12/1/1988,NN,NN
6004Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6005Z,11,3.3528,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6034Z,15,4.572,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
6035Z,10,3.048,Monitor,Y,Current,08/02/21,9/1/1988,NN,NN
6040Z,10,3.048,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6041Z,12,3.6576,Monitor,Y,Current,08/02/21,8/1/1988,NN,NN
6392Z,25,7.62,Monitor,Y,Current,08/02/21,8/1/1993,NN,NN
7099Z,11,3.3528,Monitor,Y,Current,08/02/21,4/1/1993,NN,NN
7100Z,11,3.3528,Monitor,Y,Current,08/02/21,4/1/1993,NN,NN
7101Z,14,4.2672,Monitor,Y,Current,08/02/21,4/1/1993,NN,NN
7102Z,11,3.3528,Monitor,Y,Current,08/02/21,4/1/1993,NN,NN
7103Z,14,4.2672,Monitor,Y,Current,08/02/21,4/1/1993,NN,NN
7117Z,17,5.1816,Monitor,Y,Current,08/02/21,10/1/1992,NN,NN
7118Z,17,5.1816,Monitor,Y,Current,08/02/21,10/1/1992,NN,NN
7119Z,17,5.1816,Monitor,Y,Current,08/02/21,10/1/1992,NN,NN
7120Z,17,5.1816,Monitor,Y,Current,08/02/21,10/1/1992,NN,NN
7330Z,20,6.096,Recovery,Y,Current,08/02/21,5/1/1994,NN,43980045
7832Z,240,73.152,Heat Pump,Y,Current,08/02/21,10/1/1996,NN,NN
8475Z,22,6.7056,Monitor,Y,Current,08/02/21,9/1/2000,NN,NN
8573Z,22,6.7056,Monitor,Y,Current,08/02/21,6/1/2001,NN,NN
8574Z,24,7.3152,Monitor,Y,Current,08/02/21,6/1/2001,NN,NN
8575Z,22,6.7056,Monitor,Y,Current,08/02/21,6/1/2001,NN,NN
8576Z,22,6.7056,Monitor,Y,Current,08/02/21,6/1/2001,NN,NN
