,X,Y,LocalWellNumber,Water_depth,AQUIFER_NA,Well_Depth_Meters,WellUse,Active,LastActive_Plugged_date,DateConstructed,Yield,VarZ
0,680528,3361312,10180Z,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.572,Monitor,1,2021-08-02,2020-10-16,,-0.11298493810256409
1,686884,3364377,9749Z,42.650918635170605,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,9.144,Recovery,1,2021-08-02,2012-05-07,,-0.11298493810256409
2,686883,3364408,9750Z,26.246719160104984,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,8.8392,Recovery,1,2021-08-02,2012-05-07,,-0.11298493810256409
3,686830,3364407,9751Z,19.68503937007874,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,9.144,Piezometer,1,2021-08-02,2012-05-07,,-0.11298493810256409
4,686857,3364407,9752Z,19.68503937007874,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,9.144,Piezometer,1,2021-08-02,2012-05-07,,-0.11298493810256409
5,686883,3364408,9753Z,32.808398950131235,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,9.144,Piezometer,1,2021-08-02,2012-05-07,,-0.11298493810256409
6,686912,3364285,9754Z,39.37007874015748,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,9.144,Piezometer,1,2021-08-02,2012-05-07,,-0.11298493810256409
7,678623,3371537,9843Z,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.572,Recovery,0,2011-08-15,,,-0.11298493810256409
8,678623,3371537,9844Z,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.8768,Monitor,0,2011-08-16,,,-0.11298493810256409
9,678623,3371537,9845Z,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.572,Monitor,0,2011-08-16,,,-0.11298493810256409
10,685162,3366719,8808Z,4.757217847769028,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,4.572,Monitor,0,2006-03-01,2004-02-01,,-0.11298493810256409
11,685079,3366902,864,154.03543307086613,400-FOOT SAND OF BATON ROUGE AREA,167.3352,Industrial,0,2013-12-06,1970-08-01,,-0.11298493810256409
12,675787,3363822,9767Z,52.49343832020997,MISSISSIPPI RIVER ALLUVIAL AQUIFER,12.192,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
13,675865,3363947,9768Z,52.49343832020997,MISSISSIPPI RIVER ALLUVIAL AQUIFER,13.4112,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
14,675469,3363663,9771Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,7.62,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
15,675388,3363693,9772Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,12.192,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
16,675521,3363756,9773Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,10.9728,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
17,675469,3363663,9774Z,19.68503937007874,SHALLOW SANDS OF BATON ROUGE AREA,21.9456,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
18,684444,3368154,7328Z,13.123359580052492,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.4864,Recovery,0,2007-08-01,1994-05-01,,-0.11298493810256409
19,675470,3363602,9758Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,5.1816,Monitor,1,2021-08-02,2012-05-08,,-0.11298493810256409
20,675496,3363602,9759Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,5.4864,Monitor,1,2021-08-02,2012-05-08,,-0.11298493810256409
21,675780,3364253,9760Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER,23.1648,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
22,675780,3364253,9761Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER,14.6304,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
23,675699,3364314,9762Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,6.096,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
24,675674,3364190,9763Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER,13.4112,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
25,675833,3364223,9764Z,19.68503937007874,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,6.096,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
26,675786,3363884,9765Z,52.49343832020997,MISSISSIPPI RIVER ALLUVIAL AQUIFER,14.0208,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
27,675704,3363975,9766Z,52.49343832020997,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,6.096,Monitor,0,2012-05-08,2012-05-08,,-0.11298493810256409
28,675660,3369980,9770Z,,SHALLOW SANDS OF BATON ROUGE AREA,35.052,Monitor,1,2021-08-02,2012-05-15,,-0.11298493810256409
29,676643,3365315,9276Z,68.89763779527559,[TO BE DETERMINED],70.104,Irrigation,1,2021-08-02,2007-07-01,,-0.11298493810256409
30,677569,3367455,9485Z,20.01312335958005,[TO BE DETERMINED],8.2296,Monitor,0,2012-04-10,2009-11-01,,-0.11298493810256409
31,678497,3369533,151,18.372703412073488,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE",810.1584,Public Supply,0,2019-02-13,1944-01-01,1090.0,-0.11298493810256409
32,682485,3370369,9477Z,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,6.7056,Other,0,2020-09-02,2009-06-01,,-0.11298493810256409
33,682403,3370522,7582Z,34.44881889763779,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.4864,Monitor,0,2020-09-02,1995-04-01,,-0.11298493810256409
34,682403,3370522,7583Z,34.44881889763779,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.4864,Monitor,0,2020-09-02,1995-04-01,,-0.11298493810256409
35,682459,3370338,7751Z,45.93175853018372,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.4864,Monitor,0,2020-09-02,1996-02-01,,-0.11298493810256409
36,682798,3366062,9893Z,37.729658792650916,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,7.3152,Monitor,0,2020-07-16,2014-05-12,,-0.11298493810256409
37,682824,3366124,10004Z,34.21916010498688,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,7.3152,Monitor,0,2020-07-16,2016-08-18,,-0.11298493810256409
38,682459,3370338,7754Z,47.57217847769029,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.4864,Monitor,0,2020-09-02,1996-02-01,,-0.11298493810256409
39,682485,3370369,9478Z,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,6.7056,Other,0,2020-09-02,2009-06-01,,-0.11298493810256409
40,682459,3370369,9480Z,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,6.7056,Other,0,2020-09-02,2009-06-01,,-0.11298493810256409
41,682403,3370522,7581Z,36.08923884514436,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,6.096,Monitor,0,2020-09-02,1995-04-01,,-0.11298493810256409
42,686021,3374248,1447,459.31758530183725,2000-FOOT SAND OF BATON ROUGE AREA,765.048,Public Supply,1,2021-08-02,2021-06-29,60.0,-0.11298493810256409
43,686604,3368283,9786Z,9.61286089238845,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.7912,Monitor,0,2021-03-10,2012-09-24,,-0.11298493810256409
44,686604,3368283,9788Z,10.334645669291337,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.7912,Monitor,0,2021-03-10,2012-09-24,,-0.11298493810256409
45,686631,3368284,9784Z,13.81233595800525,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.7912,Monitor,0,2021-03-10,2012-09-24,,-0.11298493810256409
46,686631,3368284,9785Z,9.776902887139107,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.7912,Monitor,0,2021-03-10,2012-09-24,,-0.11298493810256409
47,686603,3368314,9787Z,7.906824146981627,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,5.7912,Monitor,0,2021-03-10,2012-09-24,,-0.11298493810256409
48,676236,3364107,5140Z,0.0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,85.6488,Rig Supply,0,2016-04-08,1984-12-01,,-0.11298493810256409
49,675052,3374651,473,511.3845144356955,600-FOOT SAND OF BATON ROUGE AREA,210.9216,Irrigation,0,2019-05-24,1948-06-01,1258.0,-0.11298493810256409
50,675613,3376230,1443,777.5590551181102,2000-FOOT SAND OF BATON ROUGE AREA,616.6104,Public Supply,1,2021-08-02,2019-06-28,1808.0,-0.11298493810256409
